"category","subcategory","img","title","link","price"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/4633/catalog_list_4633.jpg","Корінь імбиру","https://www.atbmarket.com/product/korin-imbira-1-gat","164.95"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/4549/catalog_list_4549.jpg","Редис 0,5 кг 1 гат","https://www.atbmarket.com/product/redis-05-kg-1-gat","27.90"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/18495/catalog_list_18495.jpg","Капуста","https://www.atbmarket.com/product/kapusta-1-gat","27.95"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/14941/catalog_list_14941.jpg","Перець салатний","https://www.atbmarket.com/product/perec-salatnij-1-gat","31.95"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/6775/catalog_list_6775.jpg","Огірки","https://www.atbmarket.com/product/ogirki-1-gat","99.89"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/5233/catalog_list_5233.jpg","Баклажани","https://www.atbmarket.com/product/baklazani-1-gat","53.95"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/58/catalog_list_58.png","Буряк 1 гат","https://www.atbmarket.com/product/burak-1-gat","14.89"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/44/catalog_list_44.png","Морква","https://www.atbmarket.com/product/morkva-1gat","24.89"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/28/catalog_list_28.jpg","Цибуля Ріпчаста","https://www.atbmarket.com/product/cibula-ripcasta-1-gat","15.95"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/27/catalog_list_27.png","Картопля","https://www.atbmarket.com/product/kartopla-1-gat","26.89"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/11/catalog_list_11.png","Томати тепличні","https://www.atbmarket.com/product/tomati-teplicni-1-gatunok","79.95"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/21905/catalog_list_21905.jpg","Цибуля ріпчаста","https://www.atbmarket.com/product/cibula-ripcasta-1gat","19.79"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/17875/catalog_list_17875.jpg","Картопля фас 2,5 кг мита","https://www.atbmarket.com/product/kartopla-fas-25-kg-mita-1-gat","109.50"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/16483/catalog_list_16483.jpg","Картопля відбірна фас. 2 кг","https://www.atbmarket.com/product/kartopla-vidbirna-fas-2-kg","92.50"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/6885/catalog_list_6885.jpg","Редька Дайкон 1 гат","https://www.atbmarket.com/product/redka-dajkon-1-gat","21.59"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/6530/catalog_list_6530.jpg","Перець гострий 1 гат","https://www.atbmarket.com/product/perec-gostrij-1-gat","53.95"
